FID,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
284,M2,INDUSTRIAL,INDUSTRIAL,6471.09834161,1832536.04435,1.7513230897e-05,0.020124652573017
285,M2,INDUSTRIAL,INDUSTRIAL,7128.82053314,742328.038593,7.09630576e-06,0.02162913685673
286,(OR3),OFFICE/RES OVERLAY,OFFICE,3081.77947943,498285.47899,4.763842705e-06,0.009709127613613
287,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,958.402604523,32886.7132828,3.14214006e-07,0.003102864276966
288,R5,RES SINGLE FAMILY,RESIDENTIAL,8974.65574364,2559751.85431,2.4456203603e-05,0.026577359074097
289,M2,INDUSTRIAL,INDUSTRIAL,3445.5698793,513329.219173,4.904583244e-06,0.011198947495524
290,R6,RES MULTI-FAMILY,RESIDENTIAL,2336.02643337,182909.103119,1.747543408e-06,0.006927389040261
291,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,962.685960128,47694.2965133,4.56003698e-07,0.002878144824019
292,R7,RES MULTI-FAMILY,RESIDENTIAL,942.969610443,46569.2874703,4.44969393e-07,0.003027415751319
293,R5A,RES MULTI FAMILY,RESIDENTIAL,984.649638883,58545.4897656,5.59864947e-07,0.00300525897158
294,RR,RURAL RESIDENTIAL,RESIDENTIAL,1806.02121958,136056.42725,1.298331218e-06,0.005863820137545
295,R7,RES MULTI-FAMILY,RESIDENTIAL,1878.41572847,124248.73912,1.18713602e-06,0.006061596601786
296,R6,RES MULTI-FAMILY,RESIDENTIAL,1313.7989124,81310.9160031,7.76882582e-07,0.003911988514353
297,R7,RES MULTI-FAMILY,RESIDENTIAL,826.281045395,27644.3123891,2.64128302e-07,0.002689290461339
298,M2,INDUSTRIAL,INDUSTRIAL,9605.76929153,1766488.81303,1.6877119198e-05,0.030133813171654
299,R6,RES MULTI-FAMILY,RESIDENTIAL,4608.44844407,680458.5612,6.501318937e-06,0.013962530949265
300,R6,RES MULTI-FAMILY,RESIDENTIAL,6130.23597288,1354787.34379,1.2944305761e-05,0.018410931289435
301,R5A,RES MULTI FAMILY,RESIDENTIAL,501.676467358,14676.8105859,1.40370229e-07,0.001588463528288
302,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1224.30937,69053.5084031,6.59805524e-07,0.003818200802794
303,R5A,RES MULTI FAMILY,RESIDENTIAL,1595.16271171,103266.148465,9.87530186e-07,0.005017178828668
304,M2,INDUSTRIAL,INDUSTRIAL,961.58156805,47669.2009398,4.55480814e-07,0.002982655504672
305,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4712.93518617,829859.97644,7.930574521e-06,0.01404926785997
306,R7,RES MULTI-FAMILY,RESIDENTIAL,6720.64702214,847555.36292,8.099210342e-06,0.019985147037892
